epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,362.539,2.91412,3.14802,2.20909,1.89326,0.0643,0.15385,0.03067,0.00728,0.06941,0.25641,0.03033,0.00747,3.8132,4.45193,3.42245,2.12813,0.0017129,0.0017129,0.0017129
31,376.002,2.74713,2.99514,2.27576,1.80372,0.0643,0.15385,0.03067,0.00728,0.06941,0.25641,0.03033,0.00747,3.8132,4.45193,3.42245,2.12813,0.001703,0.001703,0.001703
32,389.03,3.02067,3.04432,2.24054,1.73505,0.0643,0.15385,0.03067,0.00728,0.06941,0.25641,0.03033,0.00747,3.8132,4.45193,3.42245,2.12813,0.0016931,0.0016931,0.0016931
33,402.957,2.90952,3.15902,2.41771,1.81825,0.0643,0.15385,0.03067,0.00728,0.06941,0.25641,0.03033,0.00747,3.8132,4.45193,3.42245,2.12813,0.0016832,0.0016832,0.0016832
34,417.32,2.71189,2.90645,2.53844,1.69968,0.08956,0.15385,0.03573,0.00716,0.12389,0.20513,0.04348,0.00786,3.58458,3.4092,4.61325,1.8041,0.0016733,0.0016733,0.0016733
35,431.207,2.60867,2.7746,2.19883,1.74384,0.08956,0.15385,0.03573,0.00716,0.12389,0.20513,0.04348,0.00786,3.58458,3.4092,4.61325,1.8041,0.0016634,0.0016634,0.0016634
36,444.743,2.9649,3.14925,2.32224,1.76681,0.08956,0.15385,0.03573,0.00716,0.12389,0.20513,0.04348,0.00786,3.58458,3.4092,4.61325,1.8041,0.0016535,0.0016535,0.0016535
37,459.557,3.02585,2.89689,2.23892,1.7696,0.05732,0.23077,0.0385,0.0057,0.07038,0.12821,0.03893,0.00583,3.57075,3.50694,6.20985,1.66743,0.0016436,0.0016436,0.0016436
38,473.264,2.85395,3.31758,2.35353,1.74556,0.05732,0.23077,0.0385,0.0057,0.07038,0.12821,0.03893,0.00583,3.57075,3.50694,6.20985,1.66743,0.0016337,0.0016337,0.0016337
39,483.801,2.72818,2.66998,2.16541,1.69563,0.05732,0.23077,0.0385,0.0057,0.07038,0.12821,0.03893,0.00583,3.57075,3.50694,6.20985,1.66743,0.0016238,0.0016238,0.0016238
40,493.037,2.69935,3.2364,2.52725,1.65553,0.07621,0.23077,0.04363,0.00838,0.05896,0.23077,0.03068,0.00676,3.46684,3.76597,5.09005,1.78594,0.0016139,0.0016139,0.0016139
41,501.112,2.64974,2.89906,2.62382,1.78442,0.07621,0.23077,0.04363,0.00838,0.05896,0.23077,0.03068,0.00676,3.46684,3.76597,5.09005,1.78594,0.001604,0.001604,0.001604
42,509.171,2.59387,2.75523,2.2065,1.69226,0.07621,0.23077,0.04363,0.00838,0.05896,0.23077,0.03068,0.00676,3.46684,3.76597,5.09005,1.78594,0.0015941,0.0015941,0.0015941
43,517.081,2.75798,2.79394,2.93221,1.70269,0.11283,0.15385,0.04726,0.01123,0.13763,0.15385,0.05252,0.01531,3.59717,3.71114,3.45746,1.84313,0.0015842,0.0015842,0.0015842
44,524.9,2.64164,2.8424,2.12788,1.79054,0.11283,0.15385,0.04726,0.01123,0.13763,0.15385,0.05252,0.01531,3.59717,3.71114,3.45746,1.84313,0.0015743,0.0015743,0.0015743
45,532.647,2.55428,2.58841,2.18855,1.74282,0.11283,0.15385,0.04726,0.01123,0.13763,0.15385,0.05252,0.01531,3.59717,3.71114,3.45746,1.84313,0.0015644,0.0015644,0.0015644
46,540.761,2.93636,3.33179,2.24525,1.69023,0.04417,0.23077,0.02505,0.00672,0.06066,0.17949,0.02841,0.00729,3.53244,3.72999,3.82243,1.85978,0.0015545,0.0015545,0.0015545
47,548.909,2.82741,3.11056,2.23676,1.72468,0.04417,0.23077,0.02505,0.00672,0.06066,0.17949,0.02841,0.00729,3.53244,3.72999,3.82243,1.85978,0.0015446,0.0015446,0.0015446
48,556.826,2.52141,3.0555,2.21337,1.84679,0.04417,0.23077,0.02505,0.00672,0.06066,0.17949,0.02841,0.00729,3.53244,3.72999,3.82243,1.85978,0.0015347,0.0015347,0.0015347
49,564.957,2.68145,2.85587,2.40741,1.71151,0.04417,0.23077,0.02505,0.00672,0.06066,0.17949,0.02841,0.00729,3.53244,3.72999,3.82243,1.85978,0.0015248,0.0015248,0.0015248
50,573.273,2.38978,2.79305,2.15232,1.63875,0.03362,0.23077,0.02587,0.00582,0.0755,0.14456,0.03167,0.00792,3.29168,3.25471,3.36278,1.67202,0.0015149,0.0015149,0.0015149
51,581.472,2.69754,2.64245,2.38395,1.62229,0.03362,0.23077,0.02587,0.00582,0.0755,0.14456,0.03167,0.00792,3.29168,3.25471,3.36278,1.67202,0.001505,0.001505,0.001505
52,590.068,2.65275,2.71273,2.543,1.61433,0.03362,0.23077,0.02587,0.00582,0.0755,0.14456,0.03167,0.00792,3.29168,3.25471,3.36278,1.67202,0.0014951,0.0014951,0.0014951
53,599.316,2.47116,2.53311,2.13119,1.58509,0.04919,0.10256,0.03465,0.00746,0.08504,0.17949,0.04917,0.0085,3.22028,3.43909,3.29374,1.52973,0.0014852,0.0014852,0.0014852
54,608.5,2.7875,2.9531,2.38913,1.57114,0.04919,0.10256,0.03465,0.00746,0.08504,0.17949,0.04917,0.0085,3.22028,3.43909,3.29374,1.52973,0.0014753,0.0014753,0.0014753
55,617.687,2.55274,2.65007,2.26481,1.53581,0.04919,0.10256,0.03465,0.00746,0.08504,0.17949,0.04917,0.0085,3.22028,3.43909,3.29374,1.52973,0.0014654,0.0014654,0.0014654
56,627.05,2.61025,3.0056,2.2162,1.59316,0.29426,0.07692,0.07594,0.01563,0.26078,0.10256,0.08846,0.02151,3.0537,3.59623,4.74441,1.50814,0.0014555,0.0014555,0.0014555
57,636.234,2.63345,2.59089,2.17141,1.62214,0.29426,0.07692,0.07594,0.01563,0.26078,0.10256,0.08846,0.02151,3.0537,3.59623,4.74441,1.50814,0.0014456,0.0014456,0.0014456
58,645.32,2.52728,2.67094,2.2095,1.74318,0.29426,0.07692,0.07594,0.01563,0.26078,0.10256,0.08846,0.02151,3.0537,3.59623,4.74441,1.50814,0.0014357,0.0014357,0.0014357
59,654.584,2.55829,3.19762,2.22213,1.70811,0.1491,0.23077,0.10187,0.02198,0.18643,0.15385,0.09757,0.01943,3.17195,3.8191,4.76778,1.54887,0.0014258,0.0014258,0.0014258
60,664.132,2.59558,2.87252,2.54812,1.5857,0.1491,0.23077,0.10187,0.02198,0.18643,0.15385,0.09757,0.01943,3.17195,3.8191,4.76778,1.54887,0.0014159,0.0014159,0.0014159
61,673.2,2.37185,2.31644,2.18361,1.50784,0.1491,0.23077,0.10187,0.02198,0.18643,0.15385,0.09757,0.01943,3.17195,3.8191,4.76778,1.54887,0.001406,0.001406,0.001406
