epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2797.44,1.36578,1.1962,1.37141,0.75268,0.7549,0.81137,0.47501,1.4158,1.4845,1.52356,0.0015941,0.0015941,0.0015941
43,2857.24,1.34575,1.15614,1.34109,0.66917,0.77451,0.75156,0.43381,1.43586,1.51009,1.51294,0.0015842,0.0015842,0.0015842
44,2921.81,1.2911,1.13938,1.33547,0.68579,0.83452,0.7612,0.43444,1.41106,1.28894,1.46058,0.0015743,0.0015743,0.0015743
45,2980.36,1.30138,1.09143,1.34452,0.78355,0.79412,0.8721,0.48714,1.5211,1.31477,1.51101,0.0015644,0.0015644,0.0015644
46,3037.78,1.29357,1.1593,1.34246,0.84076,0.82823,0.89964,0.51182,1.44452,1.23358,1.49078,0.0015545,0.0015545,0.0015545
47,3093.15,1.33238,1.14094,1.34578,0.86515,0.83333,0.88572,0.50545,1.45552,1.23889,1.54091,0.0015446,0.0015446,0.0015446
48,3148.06,1.37219,1.11926,1.38953,0.73493,0.87255,0.88232,0.48318,1.37589,1.33459,1.45413,0.0015347,0.0015347,0.0015347
49,3204.78,1.30671,1.11012,1.35393,0.77262,0.73529,0.82951,0.50843,1.3246,1.46162,1.44853,0.0015248,0.0015248,0.0015248
50,3260.35,1.28361,1.07731,1.32337,0.71755,0.80392,0.81715,0.48094,1.41512,1.22406,1.5225,0.0015149,0.0015149,0.0015149
51,3315.29,1.33083,1.04914,1.32364,0.67761,0.79412,0.79062,0.4575,1.39009,1.22446,1.47358,0.001505,0.001505,0.001505
52,3370.05,1.28617,1.06666,1.31327,0.72604,0.80547,0.81267,0.48179,1.3985,1.19652,1.49927,0.0014951,0.0014951,0.0014951
53,3428.32,1.25103,0.97309,1.26613,0.63144,0.83333,0.78112,0.45273,1.52454,1.2555,1.58344,0.0014852,0.0014852,0.0014852
54,3485.61,1.26836,1.02774,1.28895,0.73987,0.77451,0.77147,0.46463,1.36209,1.33986,1.45861,0.0014753,0.0014753,0.0014753
55,3540.44,1.28405,1.04086,1.2849,0.81664,0.7549,0.85915,0.5331,1.37439,1.24826,1.45532,0.0014654,0.0014654,0.0014654
56,3611.8,1.29124,1.00625,1.28481,0.82375,0.77898,0.87435,0.52034,1.41572,1.21972,1.4574,0.0014555,0.0014555,0.0014555
57,3677.66,1.24218,1.01807,1.30145,0.76332,0.81373,0.84823,0.49693,1.41512,1.20032,1.42358,0.0014456,0.0014456,0.0014456
58,3742.89,1.24556,0.99724,1.30587,0.7694,0.81778,0.8551,0.49167,1.45413,1.14241,1.45187,0.0014357,0.0014357,0.0014357
59,3811.59,1.29597,0.99688,1.28809,0.7383,0.85294,0.87265,0.54461,1.35083,1.04102,1.38068,0.0014258,0.0014258,0.0014258
60,3877.62,1.26542,0.97829,1.2829,0.70378,0.90845,0.83977,0.49555,1.37871,1.12513,1.42524,0.0014159,0.0014159,0.0014159
61,3941.63,1.24976,1.0075,1.26424,0.76841,0.81325,0.85171,0.49755,1.4065,1.23193,1.4845,0.001406,0.001406,0.001406
62,4006.81,1.22723,1.00964,1.28247,0.76647,0.80445,0.87453,0.52165,1.43354,1.22159,1.5533,0.0013961,0.0013961,0.0013961
63,4071.36,1.2355,0.97992,1.29124,0.80962,0.79216,0.89661,0.54311,1.36885,1.1264,1.49651,0.0013862,0.0013862,0.0013862
64,4135.19,1.25997,0.97619,1.3156,0.82165,0.85817,0.90797,0.52284,1.38529,1.12554,1.48052,0.0013763,0.0013763,0.0013763
65,4198.87,1.1509,0.90796,1.22533,0.81475,0.85294,0.90427,0.5447,1.34873,1.1517,1.4363,0.0013664,0.0013664,0.0013664
