epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,10769.3,0.89152,0.60478,1.08437,0.81951,0.80126,0.88999,0.54261,1.42347,0.87704,1.6983,0.0002081,0.0002081,0.0002081
183,10826.6,0.85738,0.59795,1.04679,0.82803,0.79412,0.89415,0.55374,1.40936,0.86101,1.68835,0.0001982,0.0001982,0.0001982
184,10882.3,0.82036,0.5858,1.02948,0.79054,0.85107,0.89748,0.55243,1.42493,0.84179,1.71474,0.0001883,0.0001883,0.0001883
185,10936.6,0.8599,0.61106,1.06577,0.80849,0.82782,0.90289,0.55922,1.44755,0.82928,1.7507,0.0001784,0.0001784,0.0001784
186,10991.5,0.8628,0.57659,1.03509,0.79075,0.86275,0.89953,0.56512,1.44054,0.84953,1.69482,0.0001685,0.0001685,0.0001685
187,11052.7,0.87214,0.61092,1.04959,0.79179,0.85754,0.89848,0.54937,1.44561,0.86976,1.69043,0.0001586,0.0001586,0.0001586
188,11113.3,0.87064,0.60015,1.08865,0.79416,0.87255,0.90134,0.55838,1.41834,0.84937,1.67956,0.0001487,0.0001487,0.0001487
189,11172.3,0.83984,0.56579,1.05476,0.78151,0.87668,0.89656,0.56407,1.40786,0.85094,1.69035,0.0001388,0.0001388,0.0001388
190,11232.6,0.86625,0.5941,1.04888,0.79156,0.88235,0.90225,0.56533,1.40135,0.84713,1.68811,0.0001289,0.0001289,0.0001289
191,11287.8,0.79783,0.5494,1.06261,0.79258,0.88235,0.90251,0.55851,1.41654,0.83774,1.7409,0.000119,0.000119,0.000119
192,11344.8,0.79978,0.54933,1.02715,0.77977,0.86785,0.89799,0.54643,1.39405,0.85555,1.69205,0.0001091,0.0001091,0.0001091
193,11402.3,0.79019,0.53389,1.02319,0.80592,0.86275,0.90699,0.54738,1.40689,0.85973,1.72087,9.92e-05,9.92e-05,9.92e-05
194,11457,0.79628,0.5447,1.04676,0.80398,0.86275,0.90767,0.55333,1.40186,0.87576,1.72215,8.93e-05,8.93e-05,8.93e-05
195,11505.7,0.792,0.53266,1.03582,0.82798,0.84943,0.91418,0.55537,1.41779,0.87787,1.72492,7.94e-05,7.94e-05,7.94e-05
196,11553.6,0.76277,0.51563,1.01408,0.80843,0.87255,0.91137,0.55246,1.41246,0.88571,1.70027,6.95e-05,6.95e-05,6.95e-05
197,11602.2,0.77328,0.52452,1.00664,0.82821,0.86275,0.91358,0.55187,1.42598,0.86489,1.70606,5.96e-05,5.96e-05,5.96e-05
