epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,460.85,1.83879,2.71972,1.4741,1.25204,0.63871,0.79787,0.74356,0.35882,0.49746,0.65294,0.49837,0.13529,1.62545,2.63247,1.39963,1.25265,0.0017129,0.0017129,0.0017129
31,477.707,1.73736,2.67157,1.45807,1.28462,0.58739,0.7234,0.64471,0.30017,0.44403,0.60638,0.36046,0.06875,1.69146,2.80393,1.74101,1.29145,0.001703,0.001703,0.001703
32,495.224,1.7966,2.72594,1.36476,1.26112,0.58739,0.7234,0.64471,0.30017,0.44403,0.60638,0.36046,0.06875,1.69146,2.80393,1.74101,1.29145,0.0016931,0.0016931,0.0016931
33,512.072,1.80176,2.83514,1.55649,1.27484,0.75912,0.65957,0.77175,0.38634,0.44151,0.56383,0.36948,0.08905,1.56336,2.68756,1.62543,1.24152,0.0016832,0.0016832,0.0016832
34,529.479,1.71803,2.65465,1.29056,1.23468,0.75912,0.65957,0.77175,0.38634,0.44151,0.56383,0.36948,0.08905,1.56336,2.68756,1.62543,1.24152,0.0016733,0.0016733,0.0016733
35,547.47,1.78528,2.66209,1.3703,1.21797,0.75912,0.65957,0.77175,0.38634,0.44151,0.56383,0.36948,0.08905,1.56336,2.68756,1.62543,1.24152,0.0016634,0.0016634,0.0016634
36,564.223,1.64564,2.58089,1.30133,1.22654,0.7985,0.79787,0.84585,0.42795,0.72392,0.68085,0.64931,0.15864,1.54693,2.47717,1.53494,1.22576,0.0016535,0.0016535,0.0016535
37,582.376,1.6603,2.58449,1.26947,1.20791,0.7985,0.79787,0.84585,0.42795,0.72392,0.68085,0.64931,0.15864,1.54693,2.47717,1.53494,1.22576,0.0016436,0.0016436,0.0016436
38,599.193,1.69299,2.6606,1.31747,1.2042,0.7985,0.79787,0.84585,0.42795,0.72392,0.68085,0.64931,0.15864,1.54693,2.47717,1.53494,1.22576,0.0016337,0.0016337,0.0016337
39,616.393,1.64942,2.48242,1.3702,1.21995,0.81886,0.7234,0.82422,0.3964,0.78143,0.69149,0.67241,0.18374,1.62908,2.41906,1.5191,1.27198,0.0016238,0.0016238,0.0016238
